Order,Family,Binomial,Parental care,Dry weight,Lifetime fecundity,Egg volume
Dictyoptera,Cryptocercidae,Cryptocercus_kyebangensis,Provisioning,164.51,73.7,*
Dictyoptera,Cryptocercidae,Cryptocercus_punctulatus,Provisioning,164.51,73,*
Dictyoptera,Mantidae,Mantis_religiosa,No care,441.52,1100,*
Dictyoptera,Phasmatidae,Didymuria_violescens,No care,410,357,67.02
Dictyoptera,Phasmatidae,Extatosoma_tiaratum,No care,4966.64,1011,*
Dictyoptera,Phasmatidae,Phyllium_bioculatum,No care,530.56,92.5,*
Dictyoptera,Phasmatidae,Podacanthus_typhon,No care,1447.48,428,*
Dictyoptera,Phasmatidae,Tropidoderus_childreni,No care,1662.94,468,150.8
Diptera,Calliphoridae,Calliphora_erythrocephala,No care,21.88,2500,*
Diptera,Calliphoridae,Chrysomya_bezziana,No care,11.3,175,*
Diptera,Calliphoridae,Lucilia_cuprina,No care,14.66,1000,*
Diptera,Calliphoridae,Lucilia_sericata,No care,14.66,151,*
Diptera,Cecidomyiidae,Aphidoletes_aphidimyza,No care,0.45,70,0.01
Diptera,Cecidomyiidae,Spurgia_esulae,No care,0.28,140,0.02
Diptera,Chironomidae,Chironomus_plumosus,No care,3.31,1750,*
Diptera,Chironomidae,Chironomus_tentans,No care,9.75,2350,*
Diptera,Chironomidae,Corynoneura_scutellata,No care,0.11,22,*
Diptera,Chironomidae,Cricotopus_trifasciatus,No care,1.01,350,*
Diptera,Muscidae,Delia_antiqua,No care,3.9,123,*
Diptera,Muscidae,Erioischia_brassicae,No care,3.76,115,*
Diptera,Muscidae,Musca_domestica,No care,6.53,2387,*
Diptera,Muscidae,Stomoxys_calcitrans,No care,10.22,147.5,*
Diptera,Sciomyzidae,Sepedon_sphegea,No care,9.3,274,*
Diptera,Simuliidae,Simulium_spp,No care,2.84,350,*
Diptera,Syrphidae,Rhingia_campestris,No care,6.17,156.5,*
Diptera,Tabanidae,Tabanus_macer,No care,10.5,250,*
